,0,1,2,3,4
m,4: 1/1,,4: 33/33,5: 20/20,"6: 35/36, 1: 1/36"
s,1: 1/1,1: 17/17,"6: 1/2, 4: 1/2","2: 5/8, 3: 2/8, 5: 1/8","3: 13/23, 6: 5/23, 1: 4/23, 2: 1/23"
q,,"1: 29/31, 3: 2/31","4: 34/35, 1: 1/35","2: 6/7, 1: 1/7","3: 11/13, 1: 2/13"
b,,"1: 29/34, 3: 5/34","6: 6/9, 3: 3/9","2: 16/19, 1: 2/19, 6: 1/19","3: 12/27, 6: 7/27, 1: 5/27, 2: 2/27, 5: 1/27"
d,,"1: 21/23, 3: 1/23, 4: 1/23","6: 11/13, 1: 2/13","2: 15/17, 6: 2/17","6: 23/36, 3: 12/36, 2: 1/36"
k,,1: 17/17,"4: 1/2, 1: 1/2","2: 9/10, 1: 1/10","3: 13/15, 6: 1/15, 2: 1/15"
g,,"1: 42/45, 3: 3/45",3: 3/3,"2: 22/24, 4: 1/24, 1: 1/24","3: 13/15, 6: 1/15, 2: 1/15"
j,,"1: 51/54, 3: 2/54, 4: 1/54","3: 7/18, 6: 6/18, 1: 5/18","2: 23/27, 3: 2/27, 1: 1/27, 6: 1/27","3: 32/56, 6: 19/56, 5: 3/56, 2: 2/56"
sh,,"1: 37/39, 4: 1/39, 6: 1/39","6: 5/8, 4: 2/8, 1: 1/8","2: 16/20, 1: 1/20, 4: 1/20, 5: 1/20, 6: 1/20","6: 24/51, 3: 18/51, 1: 6/51, 5: 3/51"
ch,,1: 15/15,"4: 26/27, 3: 1/27",2: 15/15,"3: 10/12, 1: 2/12"
x,,"1: 49/54, 3: 3/54, 6: 2/54","4: 25/36, 6: 9/36, 1: 2/36","2: 9/11, 3: 2/11","3: 22/44, 6: 16/44, 1: 4/44, 5: 2/44"
zh,,"1: 45/47, 3: 1/47, 6: 1/47","6: 8/18, 3: 6/18, 1: 4/18","2: 17/20, 1: 2/20, 3: 1/20","3: 32/54, 6: 19/54, 2: 2/54, 1: 1/54"
f,,"1: 18/19, 4: 1/19","4: 8/22, 6: 6/22, 1: 6/22, 2: 1/22, 5: 1/22","2: 7/11, 6: 3/11, 3: 1/11","6: 8/16, 3: 4/16, 1: 3/16, 5: 1/16"
t,,"1: 14/23, 3: 5/23, 4: 2/23, 5: 1/23, 6: 1/23",4: 46/46,"2: 13/14, 3: 1/14","3: 16/19, 4: 1/19, 6: 1/19, 1: 1/19"
c,,"1: 12/13, 3: 1/13","4: 14/15, 1: 1/15",2: 6/6,"3: 12/14, 1: 1/14, 6: 1/14"
y,,"1: 28/31, 4: 3/31","4: 59/61, 1: 1/61, 6: 1/61","5: 19/27, 2: 5/27, 6: 2/27, 3: 1/27","6: 51/63, 3: 5/63, 1: 4/63, 2: 2/63, 5: 1/63"
h,,"1: 12/14, 4: 2/14","4: 41/43, 3: 1/43, 6: 1/43","2: 8/10, 3: 2/10","6: 26/34, 3: 6/34, 5: 2/34"
w,,"1: 15/21, 4: 6/21","4: 11/12, 1: 1/12","5: 16/22, 2: 5/22, 6: 1/22","6: 20/27, 3: 3/27, 5: 1/27, 4: 1/27, 1: 1/27, 2: 1/27"
p,,"1: 14/16, 3: 1/16, 2: 1/16","4: 29/32, 6: 1/32, 3: 1/32, 1: 1/32","2: 3/4, 1: 1/4","3: 11/14, 6: 2/14, 1: 1/14"
z,,1: 15/15,"6: 5/8, 1: 2/8, 3: 1/8","2: 16/17, 3: 1/17","3: 10/19, 6: 9/19"
l,,"6: 1/2, 4: 1/2","4: 74/75, 6: 1/75","5: 23/24, 6: 1/24","6: 37/38, 4: 1/38"
n,,"6: 1/2, 1: 1/2","4: 10/11, 5: 1/11","5: 6/9, 2: 3/9","6: 15/19, 1: 3/19, 4: 1/19"
no init,,"1: 1/2, 2: 1/2","4: 4/5, 6: 1/5","6: 4/7, 5: 3/7",6: 6/6
r,,,"4: 20/21, 5: 1/21","5: 5/8, 6: 2/8, 2: 1/8",6: 13/13
